Municipality,Year,pastures_area_munic_ha
Arouca,1995,1035.4
Arouca,1996,1109.3000000000002
Arouca,1997,1183.2
Arouca,1998,1257.1
Arouca,1999,1331.0
Arouca,2000,1458.1
Arouca,2001,1585.2
Arouca,2002,1712.3
Arouca,2003,1839.4
Arouca,2004,1966.5
Arouca,2005,2093.6
Arouca,2006,2220.7
Arouca,2007,2347.8
Arouca,2008,2474.8999999999996
Arouca,2009,2602.0
Arouca,2010,2729.1
Arouca,2011,2856.2
Arouca,2012,2983.3
Arouca,2013,3110.4
Arouca,2014,3237.5
Arouca,2015,3364.6
Arouca,2016,3491.7
Arouca,2017,3618.8
Arouca,2018,3745.8999999999996
Arouca,2019,3873.0
Arouca,2020,3873.0
Castelo de Paiva,1995,27.8
Castelo de Paiva,1996,26.1
Castelo de Paiva,1997,24.4
Castelo de Paiva,1998,22.700000000000003
Castelo de Paiva,1999,21.0
Castelo de Paiva,2000,26.3
Castelo de Paiva,2001,31.6
Castelo de Paiva,2002,36.9
Castelo de Paiva,2003,42.2
Castelo de Paiva,2004,47.5
Castelo de Paiva,2005,52.8
Castelo de Paiva,2006,58.1
Castelo de Paiva,2007,63.4
Castelo de Paiva,2008,68.69999999999999
Castelo de Paiva,2009,74.0
Castelo de Paiva,2010,79.3
Castelo de Paiva,2011,84.6
Castelo de Paiva,2012,89.9
Castelo de Paiva,2013,95.2
Castelo de Paiva,2014,100.5
Castelo de Paiva,2015,105.8
Castelo de Paiva,2016,111.1
Castelo de Paiva,2017,116.4
Castelo de Paiva,2018,121.69999999999999
Castelo de Paiva,2019,127.0
Castelo de Paiva,2020,127.0
Espinho,1995,3.5999999999999996
Espinho,1996,4.2
Espinho,1997,4.8
Espinho,1998,5.3999999999999995
Espinho,1999,6.0
Espinho,2000,5.5
Espinho,2001,5.0
Espinho,2002,4.5
Espinho,2003,4.0
Espinho,2004,3.5
Espinho,2005,3.0
Espinho,2006,2.5
Espinho,2007,2.0
Espinho,2008,1.5
Espinho,2009,1.0
Espinho,2010,0.9
Espinho,2011,0.8
Espinho,2012,0.7
Espinho,2013,0.6
Espinho,2014,0.5
Espinho,2015,0.3999999999999999
Espinho,2016,0.29999999999999993
Espinho,2017,0.19999999999999996
Espinho,2018,0.09999999999999998
Espinho,2019,0.0
Espinho,2020,0.0
Santa Maria da Feira,1995,36.4
Santa Maria da Feira,1996,35.3
Santa Maria da Feira,1997,34.2
Santa Maria da Feira,1998,33.1
Santa Maria da Feira,1999,32.0
Santa Maria da Feira,2000,32.1
Santa Maria da Feira,2001,32.2
Santa Maria da Feira,2002,32.3
Santa Maria da Feira,2003,32.4
Santa Maria da Feira,2004,32.5
Santa Maria da Feira,2005,32.6
Santa Maria da Feira,2006,32.7
Santa Maria da Feira,2007,32.8
Santa Maria da Feira,2008,32.9
Santa Maria da Feira,2009,33.0
Santa Maria da Feira,2010,33.1
Santa Maria da Feira,2011,33.2
Santa Maria da Feira,2012,33.3
Santa Maria da Feira,2013,33.4
Santa Maria da Feira,2014,33.5
Santa Maria da Feira,2015,33.6
Santa Maria da Feira,2016,33.7
Santa Maria da Feira,2017,33.8
Santa Maria da Feira,2018,33.9
Santa Maria da Feira,2019,34.0
Santa Maria da Feira,2020,34.0
Oliveira de Azeméis,1995,66.6
Oliveira de Azeméis,1996,66.2
Oliveira de Azeméis,1997,65.8
Oliveira de Azeméis,1998,65.4
Oliveira de Azeméis,1999,65.0
Oliveira de Azeméis,2000,63.0
Oliveira de Azeméis,2001,61.0
Oliveira de Azeméis,2002,59.0
Oliveira de Azeméis,2003,57.0
Oliveira de Azeméis,2004,55.0
Oliveira de Azeméis,2005,53.0
Oliveira de Azeméis,2006,51.0
Oliveira de Azeméis,2007,49.0
Oliveira de Azeméis,2008,47.0
Oliveira de Azeméis,2009,45.0
Oliveira de Azeméis,2010,43.0
Oliveira de Azeméis,2011,41.0
Oliveira de Azeméis,2012,39.0
Oliveira de Azeméis,2013,37.0
Oliveira de Azeméis,2014,35.0
Oliveira de Azeméis,2015,33.0
Oliveira de Azeméis,2016,31.0
Oliveira de Azeméis,2017,29.0
Oliveira de Azeméis,2018,27.0
Oliveira de Azeméis,2019,25.0
Oliveira de Azeméis,2020,25.0
São João da Madeira,1995,0.0
São João da Madeira,1996,0.0
São João da Madeira,1997,0.0
São João da Madeira,1998,0.0
São João da Madeira,1999,0.0
São João da Madeira,2000,0.0
São João da Madeira,2001,0.0
São João da Madeira,2002,0.0
São João da Madeira,2003,0.0
São João da Madeira,2004,0.0
São João da Madeira,2005,0.0
São João da Madeira,2006,0.0
São João da Madeira,2007,0.0
São João da Madeira,2008,0.0
São João da Madeira,2009,0.0
São João da Madeira,2010,0.0
São João da Madeira,2011,0.0
São João da Madeira,2012,0.0
São João da Madeira,2013,0.0
São João da Madeira,2014,0.0
São João da Madeira,2015,0.0
São João da Madeira,2016,0.0
São João da Madeira,2017,0.0
São João da Madeira,2018,0.0
São João da Madeira,2019,0.0
São João da Madeira,2020,0.0
Vale de Cambra,1995,317.4
Vale de Cambra,1996,277.3
Vale de Cambra,1997,237.2
Vale de Cambra,1998,197.09999999999997
Vale de Cambra,1999,157.0
Vale de Cambra,2000,252.6
Vale de Cambra,2001,348.2
Vale de Cambra,2002,443.79999999999995
Vale de Cambra,2003,539.4
Vale de Cambra,2004,635.0
Vale de Cambra,2005,730.5999999999999
Vale de Cambra,2006,826.1999999999999
Vale de Cambra,2007,921.8
Vale de Cambra,2008,1017.4
Vale de Cambra,2009,1113.0
Vale de Cambra,2010,1208.6
Vale de Cambra,2011,1304.2
Vale de Cambra,2012,1399.8
Vale de Cambra,2013,1495.4
Vale de Cambra,2014,1591.0
Vale de Cambra,2015,1686.6
Vale de Cambra,2016,1782.1999999999998
Vale de Cambra,2017,1877.8
Vale de Cambra,2018,1973.4
Vale de Cambra,2019,2069.0
Vale de Cambra,2020,2069.0
Amares,1995,30.4
Amares,1996,27.8
Amares,1997,25.2
Amares,1998,22.599999999999998
Amares,1999,20.0
Amares,2000,34.0
Amares,2001,48.0
Amares,2002,62.0
Amares,2003,76.0
Amares,2004,90.0
Amares,2005,104.0
Amares,2006,118.0
Amares,2007,132.0
Amares,2008,146.0
Amares,2009,160.0
Amares,2010,174.0
Amares,2011,188.0
Amares,2012,202.0
Amares,2013,216.0
Amares,2014,230.0
Amares,2015,244.0
Amares,2016,258.0
Amares,2017,272.0
Amares,2018,286.0
Amares,2019,300.0
Amares,2020,300.0
Barcelos,1995,72.6
Barcelos,1996,74.2
Barcelos,1997,75.8
Barcelos,1998,77.4
Barcelos,1999,79.0
Barcelos,2000,81.0
Barcelos,2001,83.0
Barcelos,2002,85.0
Barcelos,2003,87.0
Barcelos,2004,89.0
Barcelos,2005,91.0
Barcelos,2006,93.0
Barcelos,2007,95.0
Barcelos,2008,97.0
Barcelos,2009,99.0
Barcelos,2010,101.0
Barcelos,2011,103.0
Barcelos,2012,105.0
Barcelos,2013,107.0
Barcelos,2014,109.0
Barcelos,2015,111.0
Barcelos,2016,113.0
Barcelos,2017,115.0
Barcelos,2018,117.0
Barcelos,2019,119.0
Barcelos,2020,119.0
Braga,1995,144.0
Braga,1996,147.0
Braga,1997,150.0
Braga,1998,153.0
Braga,1999,156.0
Braga,2000,159.7
Braga,2001,163.4
Braga,2002,167.1
Braga,2003,170.8
Braga,2004,174.5
Braga,2005,178.2
Braga,2006,181.9
Braga,2007,185.6
Braga,2008,189.3
Braga,2009,193.0
Braga,2010,196.7
Braga,2011,200.4
Braga,2012,204.1
Braga,2013,207.8
Braga,2014,211.5
Braga,2015,215.2
Braga,2016,218.9
Braga,2017,222.6
Braga,2018,226.3
Braga,2019,230.0
Braga,2020,230.0
Cabeceiras de Basto,1995,3283.6
Cabeceiras de Basto,1996,3330.2
Cabeceiras de Basto,1997,3376.8
Cabeceiras de Basto,1998,3423.4
Cabeceiras de Basto,1999,3470.0
Cabeceiras de Basto,2000,3482.8
Cabeceiras de Basto,2001,3495.6
Cabeceiras de Basto,2002,3508.4
Cabeceiras de Basto,2003,3521.2
Cabeceiras de Basto,2004,3534.0
Cabeceiras de Basto,2005,3546.8
Cabeceiras de Basto,2006,3559.6
Cabeceiras de Basto,2007,3572.4
Cabeceiras de Basto,2008,3585.2
