Municipality,pastures_area_munic_ha
Arouca,1966.5
Castelo de Paiva,47.5
Espinho,3.5
Santa Maria da Feira,32.5
Oliveira de Azeméis,55.0
São João da Madeira,0.0
Vale de Cambra,635.0
Amares,90.0
Barcelos,89.0
Braga,174.5
Cabeceiras de Basto,3534.0
Celorico de Basto,121.0
Esposende,6.5
Fafe,382.0
Guimarães,175.5
Póvoa de Lanhoso,278.5
Terras de Bouro,6508.0
Vieira do Minho,3917.5
Vila Nova de Famalicão,83.0
Vila Verde,873.0
Vizela,12.5
Amarante,2513.5
Baião,1111.0
Felgueiras,35.0
Gondomar,59.5
Lousada,43.0
Maia,24.5
Marco de Canaveses,549.0
Matosinhos,18.0
Paços de Ferreira,50.0
Paredes,46.0
Penafiel,115.5
Porto,2.5
Póvoa de Varzim,33.5
Santo Tirso,55.5
Valongo,15.5
Vila do Conde,34.5
Vila Nova de Gaia,70.5
Trofa,22.5
Arcos de Valdevez,14461.5
Caminha,2223.0
Melgaço,10101.5
Monção,4278.5
Paredes de Coura,2306.0
Ponte da Barca,5976.0
Ponte de Lima,3672.0
Valença,1192.5
Viana do Castelo,3455.5
Vila Nova de Cerveira,522.5
Mondim de Basto,3990.0
Ribeira de Pena,3708.0
Cinfães,2671.0
Resende,1416.5
Alfândega da Fé,1412.0
Bragança,9028.0
Carrazeda de Ansiães,707.5
Freixo de Espada à Cinta,1201.0
Macedo de Cavaleiros,3597.0
Miranda do Douro,6615.5
Mirandela,1934.5
Mogadouro,4876.5
Torre de Moncorvo,2511.5
Vila Flor,817.0
Vimioso,3331.0
Vinhais,5205.5
Vila Nova de Foz Côa,2447.0
Alijó,777.5
Boticas,9472.0
Chaves,5391.0
Mesão Frio,2.5
Montalegre,38625.0
Murça,526.5
Peso da Régua,27.0
Sabrosa,976.5
Santa Marta de Penaguião,393.5
Valpaços,2806.5
Vila Pouca de Aguiar,7095.5
Vila Real,5536.5
Armamar,51.5
Lamego,1239.0
Moimenta da Beira,1072.5
Penedono,861.5
São João da Pesqueira,857.5
Sernancelhe,1575.5
Tabuaço,164.5
Tarouca,182.5
Águeda,114.5
Albergaria-a-Velha,410.0
Anadia,101.5
Aveiro,350.0
Estarreja,505.5
Ílhavo,33.5
Mealhada,32.0
Murtosa,121.0
Oliveira do Bairro,112.0
Ovar,27.0
Sever do Vouga,105.0
Vagos,149.0
Arganil,305.0
Cantanhede,80.0
Coimbra,223.0
Condeixa-a-Nova,348.0
Figueira da Foz,189.5
Góis,120.0
Lousã,23.0
Mira,26.0
Miranda do Corvo,17.5
Montemor-o-Velho,425.5
Oliveira do Hospital,369.0
Pampilhosa da Serra,61.0
Penacova,13.0
Penela,221.0
Soure,767.5
Tábua,167.5
Vila Nova de Poiares,15.5
Aguiar da Beira,1035.0
Alvaiázere,196.0
Ansião,221.0
Batalha,48.5
Castanheira de Pêra,10.5
Figueiró dos Vinhos,33.0
Leiria,268.5
Marinha Grande,38.0
Pedrógão Grande,38.5
Pombal,254.0
Porto de Mós,2599.0
Carregal do Sal,104.5
Castro Daire,1785.5
Mangualde,516.5
Mortágua,69.5
Nelas,218.0
Oliveira de Frades,289.5
Penalva do Castelo,413.0
Santa Comba Dão,231.0
São Pedro do Sul,1097.5
