Municipality,pastures_area_munic_ha
Arouca,2602.0
Castelo de Paiva,74.0
Espinho,1.0
Santa Maria da Feira,33.0
Oliveira de Azeméis,45.0
São João da Madeira,0.0
Vale de Cambra,1113.0
Amares,160.0
Barcelos,99.0
Braga,193.0
Cabeceiras de Basto,3598.0
Celorico de Basto,181.0
Esposende,11.0
Fafe,542.0
Guimarães,297.0
Póvoa de Lanhoso,334.0
Terras de Bouro,5800.0
Vieira do Minho,4937.0
Vila Nova de Famalicão,96.0
Vila Verde,893.0
Vizela,21.0
Amarante,4329.0
Baião,2001.0
Felgueiras,57.0
Gondomar,65.0
Lousada,62.0
Maia,39.0
Marco de Canaveses,560.0
Matosinhos,29.0
Paços de Ferreira,38.0
Paredes,59.0
Penafiel,170.0
Porto,5.0
Póvoa de Varzim,47.0
Santo Tirso,81.0
Valongo,17.0
Vila do Conde,29.0
Vila Nova de Gaia,86.0
Trofa,17.0
Arcos de Valdevez,15948.0
Caminha,2794.0
Melgaço,14977.0
Monção,4281.0
Paredes de Coura,2585.0
Ponte da Barca,2812.0
Ponte de Lima,3357.0
Valença,1569.0
Viana do Castelo,3948.0
Vila Nova de Cerveira,840.0
Mondim de Basto,4206.0
Ribeira de Pena,6106.0
Cinfães,2845.0
Resende,994.0
Alfândega da Fé,1346.0
Bragança,9426.0
Carrazeda de Ansiães,580.0
Freixo de Espada à Cinta,1309.0
Macedo de Cavaleiros,3614.0
Miranda do Douro,6811.0
Mirandela,1784.0
Mogadouro,5006.0
Torre de Moncorvo,2580.0
Vila Flor,1007.0
Vimioso,3781.0
Vinhais,4952.0
Vila Nova de Foz Côa,999.0
Alijó,739.0
Boticas,11436.0
Chaves,4819.0
Mesão Frio,3.0
Montalegre,50220.0
Murça,550.0
Peso da Régua,37.0
Sabrosa,1250.0
Santa Marta de Penaguião,460.0
Valpaços,2410.0
Vila Pouca de Aguiar,8329.0
Vila Real,5695.0
Armamar,49.0
Lamego,1227.0
Moimenta da Beira,866.0
Penedono,843.0
São João da Pesqueira,730.0
Sernancelhe,1742.0
Tabuaço,138.0
Tarouca,226.0
Águeda,112.0
Albergaria-a-Velha,235.0
Anadia,106.0
Aveiro,230.0
Estarreja,551.0
Ílhavo,12.0
Mealhada,50.0
Murtosa,131.0
Oliveira do Bairro,99.0
Ovar,39.0
Sever do Vouga,130.0
Vagos,12.0
Arganil,427.0
Cantanhede,107.0
Coimbra,193.0
Condeixa-a-Nova,303.0
Figueira da Foz,285.0
Góis,31.0
Lousã,8.0
Mira,23.0
Miranda do Corvo,10.0
Montemor-o-Velho,669.0
Oliveira do Hospital,543.0
Pampilhosa da Serra,64.0
Penacova,13.0
Penela,159.0
Soure,644.0
Tábua,221.0
Vila Nova de Poiares,20.0
Aguiar da Beira,905.0
Alvaiázere,197.0
Ansião,237.0
Batalha,45.0
Castanheira de Pêra,21.0
Figueiró dos Vinhos,31.0
Leiria,268.0
Marinha Grande,23.0
Pedrógão Grande,76.0
Pombal,259.0
Porto de Mós,1926.0
Carregal do Sal,119.0
Castro Daire,1620.0
Mangualde,468.0
Mortágua,81.0
Nelas,246.0
Oliveira de Frades,279.0
Penalva do Castelo,363.0
Santa Comba Dão,230.0
São Pedro do Sul,1475.0
Sátão,633.0
Tondela,678.0
Vila Nova de Paiva,744.0
Viseu,719.0
Vouzela,706.0
Belmonte,1228.0
Castelo Branco,21700.0
Covilhã,2621.0
Fundão,7055.0
Idanha-a-Nova,51518.0
Oleiros,116.0
Penamacor,5345.0
Proença-a-Nova,837.0
Sertã,339.0
Vila de Rei,23.0
Vila Velha de Ródão,1773.0
Almeida,13017.0
Celorico da Beira,3797.0
Figueira de Castelo Rodrigo,9836.0
Fornos de Algodres,587.0
Gouveia,2718.0
Guarda,12237.0
Manteigas,101.0
Meda,1988.0
Pinhel,7731.0
Sabugal,14377.0
Seia,1057.0
Trancoso,4421.0
Mação,106.0
Alcobaça,1053.0
Bombarral,125.0
Caldas da Rainha,214.0
Nazaré,63.0
Óbidos,137.0
Peniche,85.0
Alenquer,706.0
Arruda dos Vinhos,328.0
Azambuja,3576.0
Cadaval,90.0
Cascais,46.0
Lisboa,7.0
Loures,874.0
Lourinhã,210.0
Mafra,1018.0
Oeiras,11.0
Sintra,1222.0
Sobral de Monte Agraço,236.0
Torres Vedras,392.0
Vila Franca de Xira,3078.0
Amadora,49.0
Odivelas,325.0
Abrantes,5818.0
Alcanena,1501.0
Almeirim,1118.0
Alpiarça,426.0
Benavente,14947.0
Cartaxo,535.0
Chamusca,21559.0
Constância,157.0
Coruche,34756.0
Entroncamento,64.0
Ferreira do Zêzere,297.0
Golegã,133.0
Rio Maior,3651.0
Salvaterra de Magos,2546.0
Santarém,2850.0
Sardoal,136.0
Tomar,1006.0
Torres Novas,411.0
Vila Nova da Barquinha,73.0
Ourém,221.0
Alcochete,1768.0
Almada,67.0
Barreiro,81.0
Moita,347.0
Montijo,8456.0
Palmela,13988.0
Seixal,526.0
Sesimbra,980.0
Setúbal,1212.0
Aljustrel,6338.0
Almodôvar,14596.0
Alvito,17793.0
Barrancos,11558.0
Beja,30621.0
Castro Verde,14861.0
Cuba,8076.0
Ferreira do Alentejo,15942.0
Mértola,60602.0
Moura,39112.0
Odemira,37333.0
Ourique,26667.0
Serpa,31895.0
Vidigueira,7836.0
Alandroal,30783.0
Arraiolos,37441.0
Borba,3080.0
Estremoz,16541.0
Évora,70210.0
Montemor-o-Novo,86238.0
Mora,31535.0
Mourão,15342.0
Portel,27237.0
Redondo,18750.0
Reguengos de Monsaraz,15468.0
Vendas Novas,11584.0
Viana do Alentejo,31412.0
Vila Viçosa,11153.0
Alter do Chão,24759.0
Arronches,17834.0
Avis,29289.0
Campo Maior,6962.0
Castelo de Vide,17994.0
Crato,21936.0
Elvas,31725.0
Fronteira,13149.0
Gavião,12290.0
Marvão,7530.0
Monforte,30965.0
Nisa,24779.0
Ponte de Sor,40694.0
Portalegre,22001.0
Sousel,8945.0
Alcácer do Sal,57667.0
Grândola,20687.0
Santiago do Cacém,29935.0
Sines,4118.0
Albufeira,304.0
Alcoutim,2554.0
Aljezur,1968.0
Castro Marim,3219.0
Faro,262.0
Lagoa,190.0
Lagos,641.0
Loulé,2870.0
Monchique,930.0
Olhão,11.0
Portimão,1031.0
São Brás de Alportel,159.0
Silves,3130.0
Tavira,1410.0
Vila do Bispo,2779.0
Vila Real de Santo António,126.0
